Object ID,Is Public Domain,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Metadata Date,Department,Title,Culture,Artist Role,Artist Display Name,Artist Nationality,Medium,Dimensions,Classification,Tags
1788,False,1856,1925,1889,1889,2019-02-01,The American Wing,Javanese Dancer Applying Make-up (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
1818,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,42 1/2 x 18 1/2 x 23 1/2 in. (108 x 47 x 59.7 cm),Furniture,Grapes
1819,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,42 1/2 x 18 1/2 x 23 1/2 in. (108 x 47 x 59.7 cm),Furniture,Grapes
1820,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,42 1/2 x 18 1/2 x 23 1/2 in. (108 x 47 x 59.7 cm),Furniture,Grapes
1821,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,42 1/2 x 18 1/2 x 23 1/2 in. (108 x 47 x 59.7 cm),Furniture,Grapes
1848,False,1856,1925,1889,1889,2019-02-01,The American Wing,Legs and Costume of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Costumes|Feet|Hands|Dancing|Dancers
1849,False,1856,1925,1889,1889,2019-10-10,The American Wing,Standing Javanese Dancer from Behind (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Dancers|Human Figures
1850,False,1856,1925,1889,1889,2019-02-01,The American Wing,Hand of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Hands|Dancers
1851,False,1856,1925,1889,1889,2019-02-01,The American Wing,Two Seated Javanese Dancers (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Dancers
1852,False,1856,1925,1889,1889,2019-02-01,The American Wing,Arm of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Dancers|Arms
1853,False,1856,1925,1889,1889,2019-02-01,The American Wing,Seated Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on  off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Women|Dancers
1917,False,1856,1925,1889,1889,2019-02-01,The American Wing,Javanese Dancer in Profile Fixing Her Hair (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Profiles|Women|Dancers
1919,False,1856,1925,1889,1889,2019-02-01,The American Wing,Hands of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Hands|Dancers
2014,False,1856,1925,1889,1889,2019-02-01,The American Wing,Arm of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Dancers|Arms
2046,False,1848,1933,1901,1907,2019-11-20,The American Wing,Hair Ornament,American,Maker,Louis Comfort Tiffany,American,"Gold, silver, platinum, black opals, boulder opals, demantoid garnets, rubies, enamel.",H. 3 1/4 in. (8.3 cm),Jewelry,Dragonflies
2059,True,1669,1753,1700,1710,2019-07-31,The American Wing,Chocolate Pot,American,Maker,Edward Winslow,American,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)",Silver,Coat of Arms
2144,True,1756,1766,1761,1762,2019-07-31,The American Wing,Coffeepot,British,Maker|Maker,Robert Peaston|William Peaston,British|British,Silver,9 5/16 x 8 x 4 3/8 in. (23.7 x 20.3 x 11.1 cm); 26 oz. 2 dwt. (811.5 g),Silver,Birds|Flowers
2145,True,1818,1846,1821,1849,2020-01-19,The American Wing,Coffeepot,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",H. 9 3/4 in. (24.8 cm),Ceramics,Marquis de Lafayette|Men
2152,True,1766,1851,1797,1800,2019-07-31,The American Wing,Coffeepot,American,Maker,Christian Wiltberger,American,Silver,"Overall: 14 1/2 x 10 15/16 x 5 5/8 in. (36.8 x 27.8 x 14.3 cm); 41 oz. 11 dwt. (1292 g)
Foot: 4 3/16 x 4 5/16 in. (10.6 x 11 cm)",Silver,Eagles
2215,False,1848,1933,1897,1920,2019-07-26,The American Wing,Compote,American,Designer|Manufacturer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Tiffany Studios,American,Favrile glass,H. 5 3/8 in. (13.7 cm); Diam. 9 5/8 in. (24.4 cm),Glass,Dragonflies
2251,True,1804,1863,1852,1855,2019-07-31,The American Wing,Console Table,American,Maker,John H. Belter,German,Rosewood,28 x 36 x 18 in. (71.1 x 91.4 x 45.7 cm),Furniture,Grapes|Flowers
2252,True,1804,1863,1852,1855,2019-07-31,The American Wing,Console Table,American,Maker,John H. Belter,German,Rosewood,54 1/2 x 23 1/2 x 29 in. (138.4 x 59.7 x 73.7 cm),Furniture,Flowers
2323,False,1848,1933,1898,1902,2019-07-26,The American Wing,Covered Box,American,Designer|Maker|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|(Stourbridge Glass Company),American,Enamel on copper,2 5/8 x 5 1/2 in. (6.7 x 14 cm),Metal,Insects
2324,False,1848,1933,1898,1902,2019-02-01,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,American,Enamel on copper,H. 3 1/16 in. (7.8 cm),Metal,Leaves
2325,False,1848,1933,1898,1902,2019-02-01,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,American,Enamel on copper,H. 1 15/16 in. (4.9 cm),Metal,Leaves
2335,False,1848,1933,1898,1902,2019-07-26,The American Wing,Covered Box,American,Designer|Maker|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|(Stourbridge Glass Company),American,"Favrile glass, enamel on copper",3 7/8 x 6 x 4 13/16 in. (9.8 x 15.2 x 12.2 cm),Metal,Fruit
2336,False,1848,1933,1902,1913,2019-02-01,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,"Wood; European walnut , glass",H. 2 5/8 in. (6.7 cm),Natural Substances,Flowers|Leaves
2352,False,1861,1930,1880,1890,2019-07-26,The American Wing,Covered compote,American,Maker,James Gillinder and Sons,American,Pressed glass,H. 7 1/2 in. (19.1 cm); Diam. 5 in. (12.7 cm),Glass,Animals|Men|Deer
2407,True,1739,1775,1739,1775,2019-07-31,The American Wing,Covered Jar,Dutch,Designer|Manufacturer,Justus Brouwer|The Porcelain Axe,Dutch,Earthenware,H. 15 in. (38.1 cm),Ceramics,Animals|Flowers
2415,True,1739,1775,1739,1775,2019-07-26,The American Wing,Covered Jar,Dutch,Manufacturer|Designer,The Porcelain Axe|Justus Brouwer,Dutch,Earthenware,H. 15 1/2 in. (39.4 cm),Ceramics,Birds|Flowers
2416,True,1739,1775,1739,1775,2019-07-31,The American Wing,Covered Jar,Dutch,Designer|Manufacturer,Justus Brouwer|The Porcelain Axe,Dutch,Earthenware,H. 15 1/2 in. (39.4 cm),Ceramics,Birds|Flowers
2417,False,1847,1939,1888,1888,2019-09-12,The American Wing,Covered Jewel Box,American,Decorator,Louise McLaughlin,American,"Porcelain, overglaze gilding",2 5/8 x 4 in. (6.7 x 10.2 cm),Ceramics,Flowers|Leaves
2507,True,1820,1890,1873,1876,2019-07-26,The American Wing,Sugar bowl,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,4 3/4 x 4 1/2 in. (12.1 x 11.4 cm),Ceramics,Heads|Men|Birds|Flowers
2563,True,1881,1892,1886,1890,2019-09-12,The American Wing,Covered Vase,American,Maker,Faience Manufacturing Company,American,Earthenware,H. 16 1/4 in. (41.3 cm); Diam. 8 1/2 in. (21.6 cm),Ceramics,Flowers
2564,True,1833,1910,1886,1890,2019-10-25,The American Wing,Covered Vase,American,Designer|Manufacturer,Edward Lycett|Faience Manufacturing Company,American,Glazed and gilded earthenware,H. 27 in. (68.6 cm); Diam. 14 1/2 in. (36.8 cm),Ceramics,Flowers
2675,True,1861,1930,1867,1870,2020-02-08,The American Wing,Creamer,American,Maker,James Gillinder and Sons,American,Pressed blue glass,H. 3 1/4 in. (8.3 cm),Glass,Lions
2676,True,1861,1930,1867,1870,2020-02-08,The American Wing,Creamer,American,Maker,James Gillinder and Sons,American,Pressed amber glass,H. 3 1/4 in. (8.3 cm),Glass,Lions
2679,True,1838,1838,1852,1858,2019-07-31,The American Wing,Cream Jug,American,Designer|Manufacturer,Daniel Greatbatch|United States Pottery Company,British,Mottled brown earthenware,5 1/4 x 7 in. (13.3 x 17.8 cm),Ceramics,Cows
2691,True,1820,1890,1873,1876,2019-07-31,The American Wing,Creamer,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,H. 3 7/8 in. (9.8 cm); Diam. 3 1/4 in. (8.3 cm),Ceramics,Animals|Flowers
2716,True,1839,1851,1848,1851,2019-07-26,The American Wing,Creamer,American,Retailer|Maker,"Ball, Tompkins and Black|Charters, Cann & Dunn",American,Silver,7 3/16 x 5 11/16 x 4 1/2 in. (18.3 x 14.4 x 11.4 cm); 14 oz. 1 dwt. (437.3 g),Silver,Birds
3162,True,1747,1776,1750,1775,2019-07-26,The American Wing,Dessert Plate,British,Manufacturer,Bow Porcelain Factory,British,Porcelain,Diam. 8 in. (20.3 cm),Ceramics,Flowers
3163,True,1747,1776,1750,1775,2019-07-26,The American Wing,Dessert Plate,British,Manufacturer,Bow Porcelain Factory,British,Porcelain,Diam. 8 in. (20.3 cm),Ceramics,Flowers
3191,False,1883,1909,1883,1909,2019-07-26,The American Wing,Plate,American,Decorator|Manufacturer,William Lycett Studios|Haviland & Co.,American and French,Porcelain,H. 1 in. (2.5 cm); Diam. 9 5/8 in. (24.4 cm),Ceramics,Flowers
3317,True,1818,1846,1815,1849,2020-01-19,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",Diam. 8 3/8 in. (21.3 cm),Ceramics,George Washington|Men
3318,True,1818,1846,1818,1849,2020-01-19,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",8 5/8 x 11 1/2 in. (21.9 x 29.2 cm),Ceramics,Landscapes|Boats
3319,True,1818,1846,1815,1849,2020-01-19,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",Diam. 10 1/4 in. (26 cm),Ceramics,Waterfalls
3412,True,1736,1815,1775,1790,2019-02-01,The American Wing,Dress Sword,American,Maker|Maker,John Bailey|Andrea Ferara,American,Silver,L. 32 in. (81.3 cm),Silver,Swords
3413,True,1669,1753,1700,1800,2019-02-01,The American Wing,Dress Sword,American,Maker,Edward Winslow,American,Silver,L. 31 1/4 in. (79.4 cm),Silver,Swords
3431,False,1856,1925,1889,1889,2019-02-01,The American Wing,Javanese Dancer Applying Make-up (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
3447,False,1856,1925,1889,1889,2019-02-01,The American Wing,Head of a Javanese Dancer in Profile (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Heads|Profiles|Women|Dancers
3532,False,1854,1941,1887,1890,2019-02-01,The American Wing,Encaustic Tile,American,Designer|Manufacturer,Herman Carl Mueller|American Encaustic Tile Company,American,Earthenware,12 1/8 x 18 in. (30.8 x 45.7 cm),Ceramics,Infants|Mothers|Trees
3571,True,1881,1892,1886,1890,2019-09-12,The American Wing,Ewer,American,Maker,Faience Manufacturing Company,American,Earthenware,H. 15 x 8 in. (38.1 x 20.3 cm),Ceramics,Birds|Fruit|Butterflies|Leaves
3574,False,1862,1925,1889,1889,2019-10-25,The American Wing,Ewer,American,Decorator|Manufacturer,Albert R. Valentien|Rookwood Pottery Company,American|American,Earthenware,H. 9 1/4 in. (23.5 cm); Diam. 7 1/2 in. (19.1 cm),Ceramics,Dragons
3605,True,1793,1875,1856,1864,2019-07-31,The American Wing,Figure of the Finding of Moses,British,Artist,William Beattie,British,Porcelain,Approx. 20 x 16 x 11 in. (50.8 x 40.6 x 27.9 cm),Ceramics,Men|Women|Moses
3685,True,1732,1809,1760,1790,2019-07-31,The American Wing,Firescreen,American,Maker,John Townsend,American,Mahogany,55 1/2 x 22 1/2 x 17 in. (141 x 57.2 x 43.2 cm),Furniture,Flowers
3757,False,1848,1933,1904,1915,2019-07-31,The American Wing,Floor Lamp,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,Leaded glass and bronze,H. 63 in. (160 cm); Diam. 22 in. (55.9 cm),Glass,Flowers
3804,False,1848,1933,1902,1915,2019-06-15,The American Wing,Fountain base for mosaic wall mural,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,"Favrile glass, cement",24 x 77 x 61 3/4 in. (61 x 195.6 x 156.8 cm),Architecture,Gardens|Swans
3958,True,1822,1885,1840,1883,2019-02-01,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|Gilbert Stuart,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3959,True,1822,1885,1840,1883,2019-02-01,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|John Trumbull,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3960,True,1822,1885,1840,1883,2019-07-26,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|John Trumbull,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Profiles
3961,True,1822,1885,1840,1883,2019-02-01,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|Edward Savage,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3962,True,1822,1885,1840,1883,2019-02-01,The American Wing,George Washington,French,Designer|Artist,Emile Dupont-Zipcy|Charles Willson Peale,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3966,False,1871,1924,1890,1906,2019-02-01,The American Wing,George Washington,American,Artist,Victor David Brenner,"American, born Lithuania",Bronze,5 x 3 1/2 in. (12.7 x 8.9 cm),Sculpture,George Washington|Profiles
3991,True,1833,1905,1885,1885,2019-02-01,The American Wing,Puget Sound (from Sketchbook X),American,Artist,William Trost Richards,American,Graphite on off-white wove paper,5 x 7 1/2 in. (12.7 x 19.1 cm),Drawings,Landscapes
4136,True,1828,1901,1859,1859,2019-02-01,The American Wing,Gothic Library,American,Maker,Frederick Clarke Withers,"American, born England","Walnut, oak, pine",Approx. 24 x 17 x 12 in. (61 x 43.2 x 30.5 cm),Architecture,Libraries|Interiors
4138,True,1838,1915,1825,1830,2019-02-01,The American Wing,Grand Harmonicon,American,Maker,Francis Hopkinson Smith,American,Mahogany,232 1/2 x 137 1/4 x 45 1/2 in. (590.6 x 348.6 x 115.6 cm),Furniture,Musical Instruments
4140,False,1793,2002,1849,1849,2019-07-31,The American Wing,The Greek Slave,American,Manufacturer|Artist,Minton and Company|Hiram Powers,American,Parian porcelain,H. 14 1/2 in. (36.8 cm); Diam. 4 in. (10.2 cm),Ceramics,Female Nudes
4267,True,1717,1779,1731,1731,2019-10-21,The American Wing,Quillwork hatchment of Dering coat of arms,American,Maker|Artist,Mary Dering|Elizabeth Dering,American|American,"Paper, mica, pearls, wood, glass",22 x 22 in. (55.9 x 55.9 cm),Natural Substances,Coat of Arms
4537,False,1880,1942,1913,1917,2019-07-26,The American Wing,Vase,American,Designer|Manufacturer,Frederick Hurten Rhead|Rhead Pottery,"American, born England",Earthenware,H. 11 1/2 in. (29.2 cm),Ceramics,Trees
4581,True,1781,1864,1807,1810,2019-07-31,The American Wing,Jug,American,Maker,John W. Forbes,American,"Silver, ceramic","Overall: 9 1/2 x 7 11/16 x 7 1/16 in. (24.1 x 19.5 x 17.9 cm); 42 oz. 18 dwt. (1334 g)
Base: Diam. 4 1/2 in. (11.4 cm)",Silver,Men|Hunting|Dogs
4590,True,1880,1967,1892,1892,2019-07-31,The American Wing,Jug,American,Maker,Rookwood Pottery Company,American,"Earthenware, silver",With stopper: 7 1/8 x 6 1/8 in. (18.1 x 15.6 cm),Ceramics,Grapes
