Object ID,Department,Title,Culture,Artist Role,Artist Display Name,Artist Nationality,Medium,Dimensions,Classification,Tags
2059,The American Wing,Chocolate Pot,American,Maker,Edward Winslow,American,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)",Silver,Coat of Arms
2144,The American Wing,Coffeepot,British,Maker|Maker,Robert Peaston|William Peaston,British|British,Silver,9 5/16 x 8 x 4 3/8 in. (23.7 x 20.3 x 11.1 cm); 26 oz. 2 dwt. (811.5 g),Silver,Birds|Flowers
2145,The American Wing,Coffeepot,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",H. 9 3/4 in. (24.8 cm),Ceramics,Marquis de Lafayette|Men
2152,The American Wing,Coffeepot,American,Maker,Christian Wiltberger,American,Silver,"Overall: 14 1/2 x 10 15/16 x 5 5/8 in. (36.8 x 27.8 x 14.3 cm); 41 oz. 11 dwt. (1292 g)
Foot: 4 3/16 x 4 5/16 in. (10.6 x 11 cm)",Silver,Eagles
2215,The American Wing,Compote,American,Designer|Manufacturer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Tiffany Studios,American,Favrile glass,H. 5 3/8 in. (13.7 cm); Diam. 9 5/8 in. (24.4 cm),Glass,Dragonflies
2251,The American Wing,Console Table,American,Maker,John H. Belter,German,Rosewood,28 x 36 x 18 in. (71.1 x 91.4 x 45.7 cm),Furniture,Grapes|Flowers
2252,The American Wing,Console Table,American,Maker,John H. Belter,German,Rosewood,54 1/2 x 23 1/2 x 29 in. (138.4 x 59.7 x 73.7 cm),Furniture,Flowers
2323,The American Wing,Covered Box,American,Designer|Maker|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|(Stourbridge Glass Company),American,Enamel on copper,2 5/8 x 5 1/2 in. (6.7 x 14 cm),Metal,Insects
2324,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,American,Enamel on copper,H. 3 1/16 in. (7.8 cm),Metal,Leaves
2325,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,American,Enamel on copper,H. 1 15/16 in. (4.9 cm),Metal,Leaves
2335,The American Wing,Covered Box,American,Designer|Maker|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|(Stourbridge Glass Company),American,"Favrile glass, enamel on copper",3 7/8 x 6 x 4 13/16 in. (9.8 x 15.2 x 12.2 cm),Metal,Fruit
2336,The American Wing,Covered Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,"Wood; European walnut , glass",H. 2 5/8 in. (6.7 cm),Natural Substances,Flowers|Leaves
2352,The American Wing,Covered compote,American,Maker,James Gillinder and Sons,American,Pressed glass,H. 7 1/2 in. (19.1 cm); Diam. 5 in. (12.7 cm),Glass,Animals|Men|Deer
2407,The American Wing,Covered Jar,Dutch,Designer|Manufacturer,Justus Brouwer|The Porcelain Axe,Dutch,Earthenware,H. 15 in. (38.1 cm),Ceramics,Animals|Flowers
2415,The American Wing,Covered Jar,Dutch,Manufacturer|Designer,The Porcelain Axe|Justus Brouwer,Dutch,Earthenware,H. 15 1/2 in. (39.4 cm),Ceramics,Birds|Flowers
2416,The American Wing,Covered Jar,Dutch,Designer|Manufacturer,Justus Brouwer|The Porcelain Axe,Dutch,Earthenware,H. 15 1/2 in. (39.4 cm),Ceramics,Birds|Flowers
2417,The American Wing,Covered Jewel Box,American,Decorator,Louise McLaughlin,American,"Porcelain, overglaze gilding",2 5/8 x 4 in. (6.7 x 10.2 cm),Ceramics,Flowers|Leaves
2507,The American Wing,Sugar bowl,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,4 3/4 x 4 1/2 in. (12.1 x 11.4 cm),Ceramics,Heads|Men|Birds|Flowers
2563,The American Wing,Covered Vase,American,Maker,Faience Manufacturing Company,American,Earthenware,H. 16 1/4 in. (41.3 cm); Diam. 8 1/2 in. (21.6 cm),Ceramics,Flowers
2564,The American Wing,Covered Vase,American,Designer|Manufacturer,Edward Lycett|Faience Manufacturing Company,American,Glazed and gilded earthenware,H. 27 in. (68.6 cm); Diam. 14 1/2 in. (36.8 cm),Ceramics,Flowers
2675,The American Wing,Creamer,American,Maker,James Gillinder and Sons,American,Pressed blue glass,H. 3 1/4 in. (8.3 cm),Glass,Lions
2676,The American Wing,Creamer,American,Maker,James Gillinder and Sons,American,Pressed amber glass,H. 3 1/4 in. (8.3 cm),Glass,Lions
2679,The American Wing,Cream Jug,American,Designer|Manufacturer,Daniel Greatbatch|United States Pottery Company,British,Mottled brown earthenware,5 1/4 x 7 in. (13.3 x 17.8 cm),Ceramics,Cows
2691,The American Wing,Creamer,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,H. 3 7/8 in. (9.8 cm); Diam. 3 1/4 in. (8.3 cm),Ceramics,Animals|Flowers
2716,The American Wing,Creamer,American,Retailer|Maker,"Ball, Tompkins and Black|Charters, Cann & Dunn",American,Silver,7 3/16 x 5 11/16 x 4 1/2 in. (18.3 x 14.4 x 11.4 cm); 14 oz. 1 dwt. (437.3 g),Silver,Birds
2797,The American Wing,Cup,American,Maker,Gorham Manufacturing Company,American,Silver and gilding,"Overall: 3 7/16 x 4 1/2 in. (8.7 x 11.4 cm); 7 oz. 18 dwt. (245.8 g)
Lip: Diam. 3 1/4 in. (8.3 cm)
Foot: Diam. 2 9/16 in. (6.5 cm)",Silver,Flowers
3162,The American Wing,Dessert Plate,British,Manufacturer,Bow Porcelain Factory,British,Porcelain,Diam. 8 in. (20.3 cm),Ceramics,Flowers
3163,The American Wing,Dessert Plate,British,Manufacturer,Bow Porcelain Factory,British,Porcelain,Diam. 8 in. (20.3 cm),Ceramics,Flowers
3189,The American Wing,Plate,American,Maker|Decorator,J. Pouyat|Anna B. Leonard,French,"Porcelain, overglaze enamel decoration and gilding",H. 1 1/4 in. (3.2 cm); Diam. 10 3/16 in. (25.9 cm),Ceramics,Flowers
3191,The American Wing,Plate,American,Decorator|Manufacturer,William Lycett Studios|Haviland & Co.,American and French,Porcelain,H. 1 in. (2.5 cm); Diam. 9 5/8 in. (24.4 cm),Ceramics,Flowers
3294,The American Wing,Dish,American or German,Decorator|Maker,Caroline Marie Gleason|R. C.,German,"Porcelain, overglaze enamel decoration and gilding",H. 1 5/8 in. (4.1 cm); Diam. 6 1/4 in. (15.9 cm),Ceramics,Fruit
3315,The American Wing,Dish,British (American market),Maker,William Adams & Sons,British,"Earthenware, transfer-printed",11 x 9 in. (27.9 x 22.9 cm),Ceramics,Landscapes|Men|Boats
3316,The American Wing,Vegetable Dish,British (American market),Maker,William Adams & Sons,British,"Earthenware, transfer-printed",8 1/2 x 10 3/4 in. (21.6 x 27.3 cm),Ceramics,Flowers|Landscapes
3317,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",Diam. 8 3/8 in. (21.3 cm),Ceramics,George Washington|Men
3318,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",8 5/8 x 11 1/2 in. (21.9 x 29.2 cm),Ceramics,Landscapes|Boats
3319,The American Wing,Dish,British (American market),Maker,Enoch Wood & Sons,British,"Earthenware, transfer-printed",Diam. 10 1/4 in. (26 cm),Ceramics,Waterfalls
3412,The American Wing,Dress Sword,American,Maker|Maker,John Bailey|Andrea Ferara,American,Silver,L. 32 in. (81.3 cm),Silver,Swords
3413,The American Wing,Dress Sword,American,Maker,Edward Winslow,American,Silver,L. 31 1/4 in. (79.4 cm),Silver,Swords
3431,The American Wing,Javanese Dancer Applying Make-up (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
3447,The American Wing,Head of a Javanese Dancer in Profile (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Heads|Profiles|Women|Dancers
3532,The American Wing,Encaustic Tile,American,Designer|Manufacturer,Herman Carl Mueller|American Encaustic Tile Company,American,Earthenware,12 1/8 x 18 in. (30.8 x 45.7 cm),Ceramics,Infants|Mothers|Trees
3533,The American Wing,Encaustic Tile,American,Designer|Manufacturer,Loiz Whitcomb Rhead|American Encaustic Tile Company,American,Earthenware,9 1/2 x 6 in. (24.1 x 15.2 cm),Ceramics,Women|Dancing
3571,The American Wing,Ewer,American,Maker,Faience Manufacturing Company,American,Earthenware,H. 15 x 8 in. (38.1 x 20.3 cm),Ceramics,Birds|Fruit|Butterflies|Leaves
3574,The American Wing,Ewer,American,Decorator|Manufacturer,Albert R. Valentien|Rookwood Pottery Company,American|American,Earthenware,H. 9 1/4 in. (23.5 cm); Diam. 7 1/2 in. (19.1 cm),Ceramics,Dragons
3577,The American Wing,Ewer and Plateau,American,Retailer|Maker,Spaulding and Company|Gorham Manufacturing Company,American,Silver,"Overall: 19 1/16 x 8 3/4 x 6 3/8 in. (48.4 x 22.2 x 16.2 cm); 64 oz. 9 dwt. (2005.6 g)
Plateau: 2 5/16 x 17 1/4 in. (5.9 x 43.8 cm); 67 oz. 2 dwt. (2086.5 g)",Silver,Women
3605,The American Wing,Figure of the Finding of Moses,British,Artist,William Beattie,British,Porcelain,Approx. 20 x 16 x 11 in. (50.8 x 40.6 x 27.9 cm),Ceramics,Men|Women|Moses
3685,The American Wing,Firescreen,American,Maker,John Townsend,American,Mahogany,55 1/2 x 22 1/2 x 17 in. (141 x 57.2 x 43.2 cm),Furniture,Flowers
3757,The American Wing,Floor Lamp,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,Leaded glass and bronze,H. 63 in. (160 cm); Diam. 22 in. (55.9 cm),Glass,Flowers
3804,The American Wing,Fountain base for mosaic wall mural,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,"Favrile glass, cement",24 x 77 x 61 3/4 in. (61 x 195.6 x 156.8 cm),Architecture,Gardens|Swans
3941,The American Wing,George Washington,British,Manufacturer|Artist,Josiah Wedgwood and Sons|Joseph Wright (Wright of Derby),British,Earthenware,H. 3 1/2 in. (8.9 cm),Ceramics,George Washington|Profiles
3956,The American Wing,George Washington,French,Maker,Antoine Bonnefoy,French,Faience,Diam. 15 in. (38.1 cm),Ceramics,George Washington|Portraits
3958,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|Gilbert Stuart,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3959,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|John Trumbull,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3960,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|John Trumbull,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Profiles
3961,The American Wing,George Washington,French,Maker|Artist,Emile Dupont-Zipcy|Edward Savage,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3962,The American Wing,George Washington,French,Designer|Artist,Emile Dupont-Zipcy|Charles Willson Peale,American,Faience,Diam. 8 3/4 in. (22.2 cm),Ceramics,George Washington|Portraits
3966,The American Wing,George Washington,American,Artist,Victor David Brenner,"American, born Lithuania",Bronze,5 x 3 1/2 in. (12.7 x 8.9 cm),Sculpture,George Washington|Profiles
3991,The American Wing,Puget Sound (from Sketchbook X),American,Artist,William Trost Richards,American,Graphite on off-white wove paper,5 x 7 1/2 in. (12.7 x 19.1 cm),Drawings,Landscapes
4136,The American Wing,Gothic Library,American,Maker,Frederick Clarke Withers,"American, born England","Walnut, oak, pine",Approx. 24 x 17 x 12 in. (61 x 43.2 x 30.5 cm),Architecture,Libraries|Interiors
4138,The American Wing,Grand Harmonicon,American,Maker,Francis Hopkinson Smith,American,Mahogany,232 1/2 x 137 1/4 x 45 1/2 in. (590.6 x 348.6 x 115.6 cm),Furniture,Musical Instruments
4140,The American Wing,The Greek Slave,American,Manufacturer|Artist,Minton and Company|Hiram Powers,American,Parian porcelain,H. 14 1/2 in. (36.8 cm); Diam. 4 in. (10.2 cm),Ceramics,Female Nudes
4267,The American Wing,Quillwork hatchment of Dering coat of arms,American,Maker|Artist,Mary Dering|Elizabeth Dering,American|American,"Paper, mica, pearls, wood, glass",22 x 22 in. (55.9 x 55.9 cm),Natural Substances,Coat of Arms
4537,The American Wing,Vase,American,Designer|Manufacturer,Frederick Hurten Rhead|Rhead Pottery,"American, born England",Earthenware,H. 11 1/2 in. (29.2 cm),Ceramics,Trees
4581,The American Wing,Jug,American,Maker,John W. Forbes,American,"Silver, ceramic","Overall: 9 1/2 x 7 11/16 x 7 1/16 in. (24.1 x 19.5 x 17.9 cm); 42 oz. 18 dwt. (1334 g)
Base: Diam. 4 1/2 in. (11.4 cm)",Silver,Men|Hunting|Dogs
4590,The American Wing,Jug,American,Maker,Rookwood Pottery Company,American,"Earthenware, silver",With stopper: 7 1/8 x 6 1/8 in. (18.1 x 15.6 cm),Ceramics,Grapes
4715,The American Wing,Lamp,American,Maker|Designer,Tiffany Studios|Louis Comfort Tiffany,American,Leaded Favrile glass and bronze,"Base: H. 26 1/2 in. (67.3 cm); Diam. 14 5/8 in. (37.1 cm)
Shade: H. 14 5/8 in. (37.1 cm)
",Glass,Flowers
4796,The American Wing,Standing lion,American,Designer|Manufacturer|Manufacturer,"Daniel Greatbatch|Lyman, Fenton & Co.|United States Pottery Company",British,Earthenware,9 1/4 x 10 7/8 x 5 7/8 in. (23.5 x 27.6 x 14.9 cm),Ceramics,Lions
4797,The American Wing,Lioness Figure,American,Designer|Manufacturer,Daniel Greatbatch|United States Pottery Company,British,Mottled brown earthenware,7 x 9 1/2 in. (17.8 x 24.1 cm),Ceramics,Lions
4824,The American Wing,Egyptian Motifs and Musical Instruments (from Scrapbook),American,Artist,John Singer Sargent,American,Pen and ink on off-white wove paper,8 1/2 x 10 1/2 in. (21.6 x 26.7 cm),Drawings,Musical Instruments|Women
4825,The American Wing,Head with Turban (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Heads|Men|Profiles
4827,The American Wing,Foot of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Feet
4836,The American Wing,Two Standing Men (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Men
4837,The American Wing,Egyptian Sculpture and Motifs (from Scrapbook),American,Artist,John Singer Sargent,American,Pen and ink on off-white wove paper,8 1/4 x 10 1/2 in. (21 x 26.7 cm),Drawings,Animals|Men|Women|Hieroglyphs
4838,The American Wing,Head of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Faces|Heads|Profiles
4840,The American Wing,Two Javanese Dancers Applying Make-up (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
4854,The American Wing,Javanese Dancers Applying Make-up and Adjusting Hair (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
4867,The American Wing,Hand of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Hands|Dancers
